code,documento,razao_social,status
2128,59267356000139,ZENITH GESTAO EMPRESARIAL LTDA,INATIVA
2350,23784506000134,HCN SAÚDE SOLUÇÕES INTEGRADAS LTDA,INATIVA
2092,05805349000114,AYKO TECHNOLOGY LTDA,INATIVA
2032,61215139000147,VIX LONAS LTDA,INATIVA
2077,34263516000140,ZAD COMUNICA LTDA,INATIVA
2127,33672362000188,OPUS IMPORTACAO E COMERCIO DE EQUIPAMENTOS PARA MINERACAO LTDA,INATIVA
2148,13843009000530,"FORTLINE COMERCIO, DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE EPI LTDA",INATIVA
2018,59000165000106,PRIMETEK LTDA,INATIVA
2040,09389871000113,GLOBALSYS SOLUCOES EMPRESARIAIS LTDA,INATIVA
2079,30393954000253,WP COMPANY COMERCIO E SERVIÇOS TECNOLOGIA LTDA,INATIVA
2056,13792474000165,OPEX TRANSPORTES LTDA,INATIVA
2081,35112700000152,FAZENDA BOA SORTE COMERCIO DE TECIDOS LTDA,INATIVA
2037,37297680000167,VIXSELL COMERCIO E SERVICO LTDA,INATIVA
2093,37093638000124,GERING CLIMATIZACOES LTDA,INATIVA
2109,05125726000255,GELDEN EQUIPAMENTOS DE SEGURANCA LTDA,INATIVA
2130,39785589000116,RAIO SOLDAS INSPECOES S/S,INATIVA
2057,03395868000126,HIDROQUIMICA TRATAMENTO DE AGUA LTDA,INATIVA
2104,35957760000176,FORMASET INDUSTRIAL LTDA,INATIVA
2084,23361130000155,PREMIUM IDIOMAS LTDA ME,INATIVA
2100,31332375000182,ATENTO . GESTAO EM RISCOS E PRODUTIVIDADE LTDA,INATIVA
2085,14103512000198,SEA IDIOMAS LTDA,INATIVA
2135,44612586000200,"PONTUAL MEDIC IMPORTACAO, EXPORTACAO E DISTRIBUICAO LTDA",INATIVA
2074,34647606000216,PRADO DISTRIBUIDORA DE UTILIDADE DOMESTICA EIRELI,INATIVA
2052,07720801000170,KNOW HOW IDIOMAS LTDA,INATIVA
2016,57168679000140,HENRIQUE ROMMEL REPRESENTAÇÃO COMERCIAL LTDA,INATIVA
2159,32663680000110,SOMA SERVICOS ADMINISTRATIVOS LTDA,INATIVA
2073,55399279000110,GNEXUM PLATFORM LTDA,INATIVA
2111,08988238000189,INTERPRIME TELECOMUNICACOES LTDA,INATIVA
2043,30064795000162,CUSTOM BOX LTDA,INATIVA
2021,22387876000175,AGE ENGENHARIA LTDA,INATIVA
2041,38711960000132,HOUSE027 INNOVATIVE TECHNOLOGY LTDA,INATIVA
2133,46314205000142,EMERSON VICTOR SERVICOS PET LTDA,INATIVA
2034,55402354000154,PREST SERV EMPREENDIMENTOS E PARTICIPACOES LTDA,INATIVA
2087,28397677000124,SEBASTIAO PEDRO DE FREITAS,INATIVA
2063,22542368000114,VOE TELECOMUNICACOES LTDA,INATIVA
2151,29948844000140,LORENA GASPARINO LTDA,INATIVA
2039,20357765000190,GLOBALSYS IT SERVICES LTDA,INATIVA
2129,52945020000139,ZEGBOX INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,INATIVA
2131,17250123000183,L GERING ELETRICA E AR CONDICIONADO,INATIVA
2139,49994344000152,JR ATACADO DE ACESSORIOS LTDA,INATIVA
2070,47420673000164,DOCE DOCE COMO MEL SORVETES LTDA,INATIVA
2414,00000000000000,FAMÍLIA BERTOLLO ,INATIVA
2220,01381103000292,COMERCIAL SHANGAY LTDA ME - FILIAL,INATIVA
2098,03969530000211,INTERATELL INTEGRACOES E TELECOMUNICACOES LTDA03.969.530/0002-11,INATIVA
2082,10203600000100,LANGUAGE IDIOMAS LTDA,INATIVA
2054,33247450000647,FULL SERVICE ECOM COMERCIO E LOGISTICA LTDA,INATIVA
2048,02184341000270,OURO PRETO EXPLOSIVOS LTDA,INATIVA
2005,07567242000100,SERV-FOOD ALIMENTACAO E SERVICOS LTDA.,INATIVA
2320,09493879000125,HKM EMPREENDIMENTOS E PARTICIPAÇÕES LTDA,INATIVA
2099,57887103000132,DRAGON ALVES ENGENHARIA LTDA,INATIVA
2174,39615547000307,CILOMEX COM IMP & LOG EM MERCADO EXT LTDA - FILIAL 03,INATIVA
2017,41424561000286,ILHA DAS FERRAMENTAS COMERCIO VAREJISTA LTDA,INATIVA
2026,50599076000153,DARWIN CAPIXABA EDITORA LTDA,INATIVA
2409,00000000000000,JULIA - DESIGNER,INATIVA
2114,16858996000100,FRANCA COMERCIO DE TECIDOS E CONFECCOES LTDA,INATIVA
2065,40142610000144,RIZZO COMERCIO DE ROUPAS E ACESSORIOS DE PESCA LTDA,INATIVA
2144,07452963000175,ZORZAL TECNOLOGIA E GESTAO LTDA,INATIVA
2022,13785672000100,SIFRA CONSULTORIA E REPRESENTACAO LTDA,INATIVA
2115,29236102000192,"PARIS, GUERZET E AZEVEDO ADVOGADOS",INATIVA
2410,00000000000000,NOVA EMPRESA - GERING,INATIVA
2156,49413110000174,SOMAR EMPREENDIMENTOS LTDA,INATIVA
2107,39377403000190,MILANEZ & FALQUETO LTDA,INATIVA
2117,05534501000252,FOKUS BRASIL SINALIZACAO VIARIA LTDA,INATIVA
2401,37511891000150,teste,INATIVA
2102,09104418000113,VLA TELECOMUNICACOES LTDA,INATIVA
2096,48401933000117,CONSORCIO CONSERVA-VITORIA,INATIVA
2149,59580750000122,ZENA LRF TRADING LTDA,INATIVA
2046,05755778000124,"RV NEGÓCIOS IMOBILIÁRIOS, RURAIS E URBANOS LTDA",INATIVA
2061,55371144000146,H PASSOS LTDA,INATIVA
2064,56938284000116,JULIA MUNHAO LTDA,INATIVA
2121,01031119000194,BELA VISTA INDUSTRIA E COMERCIO DE PRE-MOLDADOS LTDA,INATIVA
2083,08248961000121,LEAO SCHMIDT CURSOS DE IDIOMAS LTDA,INATIVA
