grupo;cnpj_v2;razao_social;areas_no_v1;ativo_v1;situacao_v1
ALVO;30686869000100;CINCO ESTRELAS CONSTRUTORA E INCORPORADORA LTDA;Pessoal;sim;MENSAL
ALVO;48401933000117;CONSORCIO CONSERVA-VITORIA;Pessoal;sim;MENSAL
ALVO;29236209000130;FINATTO COMERCIO LTDA;Contábil + Fiscal + Pessoal + Legalização;sim;MENSAL
ALVO;24166094000212;FINATTO DISTRIBUIDORA  DE EQUIPAMENTOS LTDA;Contábil + Fiscal + Pessoal + Legalização;sim;MENSAL
ALVO;24166094000131;FINATTO DISTRIBUIDORA DE EQUIPAMENTOS LTDA;Contábil + Fiscal + Pessoal + Legalização;sim;MENSAL
ALVO;66219345000220;MARTBEL COMERCIAL LTDA;Fiscal + Legalização;sim;MENSAL
ALVO;66328198000145;SOUZA DE ANGELI HOLDING LTDA;Contábil + Fiscal + Pessoal + Legalização;sim;MENSAL
CONTEXTO;04.432.048/0004-72;EMPORIO CARD LTDA - EPP;Contábil + Fiscal + Pessoal + Outros;não;NÃO INFORMADO
CONTEXTO;39.359.955/0001-75;EQUIMAQ EQUIPAMENTOS E MAQUINAS LTDA-EPP;Pessoal;não;MENSAL
CONTEXTO;08.053.031/0003-­84;ESCRITA INDUSTRIA E SERVICOS DE SUPRIMENTOS PARA ESCRITORIO LTDA;Contábil + Fiscal + Pessoal;não;MENSAL
CONTEXTO;32.463.085/0003-00;EUROPA COMERCIAL LTDA;Fiscal + Pessoal;não;MENSAL
CONTEXTO;20.207.244/0001-57;GRANDES LIVROS E PRESENTES LTDA;Contábil;não;MENSAL
CONTEXTO;08.943.295/0001-41;GSN DISTRIBUIDORA DE MATERIAIS ELETRICOS EIRELI;Contábil + Fiscal;não;NÃO INFORMADO
CONTEXTO;23.784.506/0001-34;HCN SAUDE SOLUCOES INTEGRADAS LTDA;Contábil + Fiscal;não;MENSAL
CONTEXTO;07.100.104/0001-17;HIPER ENTREGAMOS MIX DE MATERIAIS LTDA - ME;Pessoal;não;MENSAL
CONTEXTO;07.100.104/0002-06;HIPER ENTREGAMOS MIX DE MATERIAIS LTDA - ME;Pessoal;não;MENSAL
CONTEXTO;11.243.655/0001-07;HOX - INDUSTRIA DE OXICORTE E CORTE A PLASMA LTDA.;Contábil;não;MENSAL
CONTEXTO;08.614.527/0001-18;INTERCOMM LOGISTICA LTDA;Pessoal;não;MENSAL
CONTEXTO;35.736.946/0001-03;INTERVITA COMÉRCIO VAREJISTA E ATACADISTA LTDA;Contábil + Fiscal + Pessoal;não;NÃO INFORMADO
CONTEXTO;23.649.679/0001-40;INVICTA STONES LTDA;Contábil + Fiscal + Pessoal;não;MENSAL
CONTEXTO;08.824.171/0002-28;J. C. M. NITEROI REFRIGERACAO LTDA;Outros;não;MENSAL
CONTEXTO;08.824.171/0001-47;J. C. M. NITEROI REFRIGERACAO LTDA;Outros;não;MENSAL
CONTEXTO;15.464.376/0001-24;J. R. PEREIRA - COMERCIO E RECICLAGEM DE METAIS;Contábil;não;MENSAL
CONTEXTO;07.944.657/0001-56;LA VITA COMERCIO VAREJISTA E ATACADISTA DE PRODUTOS ALIMENTICIOS EIRELI;Contábil + Fiscal + Pessoal;não;NÃO INFORMADO
CONTEXTO;11.196.167/0001-96;M2I SERVICOS DE IMPLANTACAO DE SOFTWARE LTDA;Contábil + Pessoal + Outros;não;MENSAL
CONTEXTO;04.681.721/0001-65;MADOMI LAVIX CONSTRUTORA E SERVICOS LTDA - ME;Pessoal;não;MENSAL
CONTEXTO;14.470.327/0002-12;MARCUS VINICIUS DOMINGUES CANALI - ME;Contábil + Pessoal;não;MENSAL
