Empresa;Nº NF.;Cód. do Participante;CNPJ do participante;Nome do participante;Cidade;UF;Consumidor Final;Data;Vlr contábil;Valor desconto;Frete da nota;ICMS Difal Destino;CFOP;Cód. Prod. Unificado;Cód. Prod.;Descrição;Tipo do produto;NCM;CEST;Valor do produto;Frete do produto;Desconto do produto;Abatimento do produto;Outras despesas;Valor do seguro;Quantidade;Unidade;CST ICMS;Base de ICMS;Alíquota de ICMS;Valor do ICMS;Base de ICMS ST;Alíquota de ICMS ST;Valor do ICMS ST;CST IPI;Base de IPI;Alíquota de IPI;Valor do IPI;CST PIS;Base de PIS;Alíquota de PIS;Valor do PIS;CST COFINS;Base de COFINS;Alíquota de COFINS;Valor do COFINS;Natureza de crédito;Natureza da receita;Descrição natureza crédito/receita;Tipo Item (SPED);Descrição tipo item;Código da atividade CPRB;Base de FCP Retido Ant. por ST;Alíquota de FCP Retido Ant. por ST;Valor de FCP Retido Ant. por ST;Base de ICMS Efetiva;Alíquota de ICMS Efetiva;Valor de ICMS EFetivo;Base de ICMS ST Retido;Alíquota de ICMS ST Retido;Valor de ICMS ST Retido;Base de FCP Retido por ST;Alíquota de FCP Retido por ST;Valor de FCP Retido por ST;Base de Cálculo FCP;Alíquota FCP;Valor FCP;Valor do pedágio;Tipo de lançamento;Situação da nota;Ajuste C177;Crédito presumido;Incentivo transporte;Saídas incentivadas importação;Importações-Base;Operação com diferimento;Valor Diferido;cBenef;Valor do CBENEF;Motivo Desoneração;Base de ICMS Mono;Alíquota de ICMS Mono;Valor de ICMS Mono;Base de ICMS Mono Retido;Alíquota de ICMS Mono Retido;Valor de ICMS Mono Retido;Base de ICMS Mono Diferido;Alíquota de ICMS Mono Diferido;Valor de ICMS Mono Diferido;Base de ICMS Mono Ret. Ant.;Alíquota de ICMS Mono Ret. Ant.;Valor de ICMS Mono Ret. Ant.;Valor do ICMS Original: ;Percentual Crédito Presumido;Valor Crédito Presumido;cClasstrib IBS/CBS;CST IBS/CBS;BC IBS/CBS;Redução IBS Mun;Alíquota Vigente IBS Mun;Alíquota IBS Mun;Valor IBS Mun;Aliquota Diferimento IBS Municipal;Valor Diferimento IBS Municipal;Valor Devolvido IBS Municipal;Redução IBS UF;Alíquota Vigente IBS UF;Alíquota IBS UF;Valor IBS UF;Aliquota Diferimento IBS UF;Valor Diferimento IBS UF;Valor Devolvido IBS UF;Redução CBS;Alíquota Vigente CBS;Alíquota CBS;Valor CBS;Aliquota Diferimento CBS;Valor Diferimento CBS;Valor Devolvido CBS;Cód. Créd. Pres. IBS;Alíquota Créd. Pres. IBS;Valor Créd. Presumido IBS;Valor Créd. Pres. Cond. Susp. IBS;Cód. Créd. Pres. CBS;Alíquota Créd. Pres. CBS;Valor Créd. Pres. CBS;Valor Créd. Pres. Cond. Susp. CBS;BC Monofásico IBS;Alíquota Monofásico IBS;Valor Monofásico IBS;BC Monofásico Retenção IBS;Alíquota Monofásico Retenção IBS;Valor Monofásico Retenção IBS;BC Monofásico Ret. Ant. IBS;Alíquota Monofásico Ret. Ant. IBS;Valor Monofásico Ret. Ant. IBS;BC Monofásico Diferido IBS;Alíquota Monofásico Diferido IBS;Valor Monofásico Diferido IBS;BC Monofásico CBS;Alíquota Monofásico CBS;Valor Monofásico CBS;BC Monofásico Retenção CBS;Alíquota Monofásico Retenção CBS;Valor Monofásico Retenção CBS;BC Monofásico Ret. Ant. CBS;Alíquota Monofásico Ret. Ant. CBS;Valor Monofásico Ret. Ant. CBS;BC Monofásico Diferido CBS;Alíquota Monofásico Diferido CBS;Valor Monofásico Diferido CBS;cCLassTrib IS;CST IS;UN Tributável IS;BC IS;Alíquota IS;BC IS Específico;Alíquota IS Específico;Valor IS;Imposto Importação;Valor AFRMM
328;49;10388344;59.350.024/0001-13;"59.350.024 DAMARES MARIA DOS SANTOS PEREIRA";Franco da Rocha;SP;Não;19/01/2026;1.095,82;0,00;95,82;0,00;2.101-003;803016;;Alcas diversas para sacola;Não informado ;54023310;;1.000,00;95,82;0,00;0,00;0,00;0,00;8.000,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="71";0;0,00;0,00;="71";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;50;10388344;59.350.024/0001-13;"59.350.024 DAMARES MARIA DOS SANTOS PEREIRA";Franco da Rocha;SP;Não;19/01/2026;1.528,82;0,00;108,82;0,00;2.101-003;803016;;Alcas diversas para sacola;Não informado ;54023310;;1.420,00;108,82;0,00;0,00;0,00;0,00;10.000,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="71";0;0,00;0,00;="71";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;52;10388344;59.350.024/0001-13;"59.350.024 DAMARES MARIA DOS SANTOS PEREIRA";Franco da Rocha;SP;Não;21/01/2026;2.937,62;0,00;217,62;0,00;2.101-003;803015;;Alca fio de nylon;Não informado ;54023310;;1.420,00;108,81;0,00;0,00;0,00;0,00;10.000,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="71";0;0,00;0,00;="71";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;52;10388344;59.350.024/0001-13;"59.350.024 DAMARES MARIA DOS SANTOS PEREIRA";Franco da Rocha;SP;Não;21/01/2026;;;;;2.101-003;803016;;Alcas diversas para sacola;Não informado ;54023310;;1.300,00;108,81;0,00;0,00;0,00;0,00;10.000,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="71";0;0,00;0,00;="71";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;103;10124384;52.295.101/0001-30;"COMPLEXO COSTA AZUL LTDA";Vila Velha;ES;Sim;27/01/2026;284,12;0,00;0,00;0,00;1.653-001;13997;;GASOLINA COMUM;Não informado ;27101259;06.002.01;284,12;0,00;0,00;0,00;0,00;0,00;45,17;L;="0/61";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="99";0;0,00;0,00;="99";0;0,00;0,00;;;;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;45,17;1,57;70,92;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;118;825779;51.388.758/0001-80;"BRUTUS CAKE CONFEITARIA LTDA";Vila Velha;ES;Sim;09/01/2026;157,00;0,00;0,00;0,00;1.556-052;204643;;BOLO;Não informado ;19051000;28.062.00;157,00;0,00;0,00;0,00;0,00;0,00;1,57;KG;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="99";0;0,00;0,00;="99";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;121;825779;51.388.758/0001-80;"BRUTUS CAKE CONFEITARIA LTDA";Vila Velha;ES;Sim;28/01/2026;57,00;0,00;0,00;0,00;1.556-052;204643;;BOLO;Não informado ;19051000;28.062.00;57,00;0,00;0,00;0,00;0,00;0,00;0,57;KG;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="99";0;0,00;0,00;="99";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;436;163411;02.027.029/0001-92;"ILHAMED VILA VELHA PRODUTOS HOSPITALARES LTDA";Vila Velha;ES;Não;28/01/2026;13,20;0,00;0,00;0,00;1.556-002;803103;;COLETOR PERFUROCORTANTE 1.5LT DESCARPACK/DESCARBOX;Não informado ;48191000;;13,20;0,00;0,00;0,00;0,00;0,00;2,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="00";0,00;0,00;0,00;="99";0;0,00;0,00;="99";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;2;Matéria-prima;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;1477;830094;44.139.554/0001-40;"COOKIE DO NICAO LTDA";Vila Velha;ES;Sim;08/01/2026;80,00;0,00;0,00;0,00;1.556-052;334355;;Chocotone de Ferrero Rocher;Não informado ;;;80,00;0,00;0,00;0,00;0,00;0,00;1,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="49";0,00;0,00;0,00;="99";0;0,00;0,00;="99";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
328;1480;830094;44.139.554/0001-40;"COOKIE DO NICAO LTDA";Vila Velha;ES;Sim;13/01/2026;8,00;0,00;0,00;0,00;1.556-052;334355;;Chocotone de Ferrero Rocher;Não informado ;;;8,00;0,00;0,00;0,00;0,00;0,00;1,00;UN;="0/90";0,00;0,00;0,00;0,00;0,00;0,00;="49";0,00;0,00;0,00;="99";0;0,00;0,00;="99";0;0,00;0,00;02;;Aquisição de bens utilizados como insumo;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;Entrada;Documento regular;;0,00;;;0;Não;0,00;;0,00;;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0,00;0,00;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
